Vehicle Make;Vehicle Model;Vehicle Description;Vehicle Price including VAT;Vehicle Kind;Vehicle CO2;Fuel Type;Maximum Weight
VO;S90200904A0BZ6L;VOLVO S90           T8 AWD Momentum aut                     ;6.29E+11;V;46;B;2590
VO;S90200A04A0BZ6L;VOLVO S90           T8 AWD Momentum Plusaut                 ;6.65E+11;V;46;B;2590
VO;S90200B04A0BZ6L;VOLVO S90           T8 AWD R-Design aut                     ;7.02E+11;V;46;B;2590
ME;VIT210804M6DV7F;MERCEDES-BENZ VITO  116CDI-3,2/32K keskipitk� A2            ;4E+11;U;158;D;3200
ME;VIT210I04A7DV7F;MERCEDES-BENZ VITO  116CDI-3,2/32K keskipitk� A2 A          ;4.26E+11;U;154;D;3200
AU;A40200004A7DZ6G;AUDI A4             Sed Fir Edit Busi 2,0TDI 140kW quattro S;3.833E+11;V;114;D;2160
FO;EDG200005A6DU7F;FORD EDGE           2,0 TDCi 210hv PoShift A6 AWD ST-Line 5D;4.5E+11;V;152;D;2555
FO;EDG20TI15A6DU7F;FORD EDGE           2,0 TDCi 210hv PoShift A6 AWD Titanium 5;4.41E+11;V;149;D;2555
ME;SPR210004A7DV7F;MERCEDES-BENZ SPRINT314CDI-3,5/43K pitk�A3 A                ;5.01E+11;U;188;D;3500
ME;SPR210004M6DV7F;MERCEDES-BENZ SPRINT314CDI-3,5/43K pitk�A3 ONE              ;4.16E+11;U;198;D;3500
VO;S90200104A6DZ6L;VOLVO S90           D3 Business Inscription aut             ;4.65E+11;V;115;D;2240
VO;S90200404A6DZ6L;VOLVO S90           D3 Business R-Designaut                 ;4.65E+11;V;115;D;2240
VO;S90200604A6DZ6L;VOLVO S90           D3 Inscription aut                      ;4.65E+11;V;115;D;2240
VO;S90200204M6DZ6L;VOLVO S90           D3 Momentum                             ;3.77E+11;V;115;D;2230
VO;S90200904A6DZ6L;VOLVO S90           D3 Momentum aut                         ;3.92E+11;V;115;D;2240
VO;S90200E04A6DZ6L;VOLVO S90           D3 R-Design aut                         ;4.65E+11;V;115;D;2240
VO;S90200G04A6DZ6L;VOLVO S90           D4 AWD Business aut                     ;4.38E+11;V;124;D;2340
VO;S90200H04A6DZ6L;VOLVO S90           D4 AWD Business Inscription aut         ;5.11E+11;V;124;D;2340
ME;SPR300004A5DV7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,5/37K keskipitk� A2 A      ;6.475E+11;U;254;D;3500
ME;SPR300102M6DV7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,5/43AL pitk� A3            ;6.39E+11;U;266;D;3500
ME;SPR300102A5DV7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,5/43AL pitk� A3 A          ;6.55E+11;U;254;D;3500
ME;VIT210004M6DV7F;MERCEDES-BENZ VITO  114CDI-3,05/32K keskipitk� A2           ;3.705E+11;U;164;D;3050
ME;VIT210504A7DV7F;MERCEDES-BENZ VITO  114CDI-3,05/32K keskipitk� A2 A         ;3.965E+11;U;159;D;3050
ME;VIT210104M6DV7F;MERCEDES-BENZ VITO  114CDI-3,05/32K normaali A1             ;3.575E+11;U;164;D;3050
KI;CAR16EEX5M6BM6L;KIA CARENS          1,6 ISG EX EcoDynamics 7P               ;2.1893E+11;V;143;B;2140
ME;VIT210904M6DV7F;MERCEDES-BENZ VITO  116CDI-3,2/34K pitk�A3                  ;4.12E+11;U;159;D;3200
ME;VIT210J04A7DV7F;MERCEDES-BENZ VITO  116CDI-3,2/34K pitk�A3 A                ;4.38E+11;U;154;D;3200
ME;VIT210K04A7DV7F;MERCEDES-BENZ VITO  119CDI 4x4-3,05/32K keskipitk� A2 A     ;4.995E+11;U;174;D;3050
ME;SPR210004M6DM7F;MERCEDES-BENZ SPRINT316CDI 4x4-3,5/37 KBkeskipitk� A2       ;6.825E+11;V;200;D;3500
ME;SPR210004A5DM7F;MERCEDES-BENZ SPRINT316CDI 4x4-3,5/37 KBkeskipitk� A2 A     ;6.985E+11;V;215;D;3500
ME;SPR210002M6DV7F;MERCEDES-BENZ SPRINT316CDI 4x4-3,5/37AL keskipitk� A2       ;5.915E+11;U;216;D;3500
VO;S90200K04A6DZ6L;VOLVO S90           D4 AWD Business R-Design aut            ;5.11E+11;V;124;D;2340
VO;S90200M04A6DZ6L;VOLVO S90           D4 AWD Inscription aut                  ;5.11E+11;V;124;D;2340
VO;S90200Q04A6DZ6L;VOLVO S90           D4 AWD Momentum aut                     ;4.38E+11;V;124;D;2340
VO;S90200U04A6DZ6L;VOLVO S90           D4 AWD R-Design aut                     ;5.11E+11;V;124;D;2340
VO;S90200004A8DZ6L;VOLVO S90           D4 Business aut                         ;4.15E+11;V;116;D;2270
VO;S90200104A8DZ6L;VOLVO S90           D4 Business Inscription aut             ;4.88E+11;V;116;D;2270
VO;S90200404A8DZ6L;VOLVO S90           D4 Business R-Designaut                 ;4.88E+11;V;116;D;2270
